
"Bedrifter (antal)"
" ","Region Hovedstaden"
" "," ","7.3 Frugt og bær",278,235,266,197,224,221,162,303,225,194,264,176,184,197,220,225,227,252,297,307
" "," ","7.3.1 Æbler",78,64,87,64,71,59,64,102,79,89,100,61,94,91,94,88,101,107,132,109
" "," ","7.3.2 Pærer",37,38,41,19,19,13,24,18,12,18,17,16,13,15,18,15,15,15,18,17
" "," ","7.3.3 Jordbær",172,129,140,83,95,87,78,81,79,65,73,59,47,56,58,59,60,48,51,64
" "," ","7.3.4 Kirsebær",22,23,31,24,14,8,9,13,9,16,24,9,13,15,13,10,8,10,15,13
" "," ","7.3.5 Solbær",55,42,46,47,38,35,32,76,42,10,35,20,20,15,30,28,31,29,38,29
" "," ","7.3.6 Ribs",19,11,13,8,5,..,..,..,..,..,7,5,7,7,10,7,14,14,16,13
" "," ","9. Juletræer og pyntegrønt",1159,1097,1023,1214,1226,1002,1287,1273,1206,1399,1255,1167,1131,1031,982,933,974,813,790,847
" ","Region Nordjylland"
" "," ","1.1 Hvede",4480,3871,3870,3747,3557,3259,2824,2631,2726,2476,2755,2560,2210,2346,2002,2251,2054,2025,1796,1553
" "," ","1.2.2 Vårbyg",5343,4586,4754,4114,4088,4207,3938,4218,3989,3541,4023,3699,3542,3467,3245,3237,3074,2881,2584,2351
" "," ","1.3 Rug",901,706,594,918,882,1079,902,1325,1404,1664,1390,1145,1254,1523,1334,1281,1287,1303,1225,1182
" "," ","1.4 Havre",1911,1723,1877,1516,1229,1109,1283,1310,938,1108,1253,1340,1348,1016,1128,998,974,959,641,1036
" "," ","1.6 Majs til modenhed",..,..,..,42,44,35,108,17,21,59,33,20,13,17,32,29,41,17,40,33
" "," ","3.1.2 Industrikartofler",160,145,161,126,125,122,152,126,139,98,123,112,160,133,174,190,195,172,187,191
" "," ","3.2 Sukkerroer til fabrik",..,..,5,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","4.1 Raps",1582,1719,1945,1379,1301,1141,1154,1181,1027,1300,1275,1033,912,1131,788,1050,1076,1224,1057,828
" "," ","7.2 Ærter til konsum",..,11,5,10,9,7,5,10,6,12,10,10,..,6,9,6,8,12,10,8
" "," ","7.3 Frugt og bær",97,116,113,118,94,66,45,101,56,74,113,81,87,88,95,107,122,121,101,115
" "," ","7.3.1 Æbler",17,31,31,56,25,18,11,14,16,13,27,35,12,32,32,34,34,32,34,37
" "," ","7.3.2 Pærer",11,21,13,6,6,6,6,6,6,7,6,7,..,5,5,..,..,6,..,..
" "," ","7.3.3 Jordbær",61,65,48,43,46,33,23,35,20,29,40,22,60,28,28,18,41,24,22,24
" "," ","7.3.4 Kirsebær",7,10,12,9,6,..,..,..,7,..,11,..,..,..,..,..,..,..,..,..
" "," ","7.3.5 Solbær",16,22,18,10,14,12,7,13,8,..,5,5,..,..,5,11,12,8,15,9
" "," ","7.3.6 Ribs",5,7,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..
" "," ","9. Juletræer og pyntegrønt",560,538,497,581,525,477,517,526,486,483,482,472,554,426,396,352,344,359,338,330
