
"Bedrifter (antal)"
" ","Region Hovedstaden"
" "," ","1.6 Majs til modenhed",..,..,..,219,301,258,236,281,210,205,180,206,232,216,237,210,194,215,229,156
" "," ","3.1.2 Industrikartofler",240,264,237,225,211,216,257,220,262,215,216,211,158,261,244,236,192,225,199,227
" "," ","3.2 Sukkerroer til fabrik",1233,662,48,31,26,32,22,18,15,17,10,14,28,7,16,16,12,10,17,12
" "," ","4.1 Raps",2650,3221,2906,2438,2325,2349,1557,2265,1870,2325,2024,1898,1575,1573,1460,1441,1632,1711,1525,1185
" "," ","7.2 Ærter til konsum",29,45,56,51,48,35,57,33,24,22,24,32,27,34,38,34,56,44,33,40
" "," ","7.3 Frugt og bær",496,464,511,427,438,400,452,468,478,329,367,403,368,333,369,352,377,385,391,407
" "," ","7.3.1 Æbler",158,165,195,163,169,139,172,165,146,150,169,176,145,140,152,156,156,168,163,163
" "," ","7.3.2 Pærer",103,127,121,79,72,60,96,65,62,56,65,61,60,51,52,51,44,49,43,43
" "," ","7.3.3 Jordbær",197,180,178,146,131,109,147,123,229,71,110,114,118,92,97,88,88,84,85,82
" "," ","7.3.4 Kirsebær",142,139,134,108,103,84,75,106,70,60,56,55,51,57,53,42,61,43,48,42
" "," ","7.3.5 Solbær",82,76,71,72,77,80,93,61,95,30,38,28,32,19,25,20,20,22,19,21
" "," ","7.3.6 Ribs",53,58,52,35,31,31,30,21,21,17,19,21,36,16,15,11,12,9,12,10
" "," ","9. Juletræer og pyntegrønt",919,786,828,780,965,957,887,834,1058,960,930,882,943,785,739,730,614,714,583,610
" ","Landsdel Fyn"
" "," ","1.1 Hvede",2367,2264,2019,2068,2000,2082,2092,1718,1811,1723,1504,1812,1432,1475,1293,1351,1211,1159,1205,1073
" "," ","1.2.2 Vårbyg",2546,2117,2261,1829,1845,1947,2069,1794,1720,1703,1615,1859,1628,1520,1460,1350,1318,1273,1268,1133
" "," ","1.3 Rug",121,153,78,158,167,201,85,346,300,277,269,330,202,350,357,361,317,286,335,287
" "," ","1.4 Havre",403,292,306,231,264,240,334,243,192,173,235,204,321,237,283,341,220,256,199,262
" "," ","1.6 Majs til modenhed",..,..,..,63,177,129,135,136,115,142,123,160,165,160,170,144,126,146,135,87
" "," ","3.1.2 Industrikartofler",13,11,11,6,8,7,6,..,8,..,6,..,..,..,10,11,7,7,8,7
" "," ","3.2 Sukkerroer til fabrik",1083,637,48,28,25,27,7,17,15,17,10,14,28,7,16,14,11,9,14,12
" "," ","4.1 Raps",1031,1294,1191,1086,1061,1183,698,1170,930,1131,817,915,728,712,662,616,725,717,668,586
" "," ","7.2 Ærter til konsum",18,29,35,36,32,20,32,26,17,17,17,24,23,22,20,13,37,30,19,24
" "," ","7.3 Frugt og bær",342,333,361,304,316,289,272,305,315,209,240,273,241,219,229,211,233,231,229,239
" "," ","7.3.1 Æbler",135,138,158,133,140,105,117,135,119,110,135,147,115,109,115,120,112,127,118,114
" "," ","7.3.2 Pærer",88,111,96,71,66,54,88,60,56,51,59,55,55,44,44,41,38,41,34,36
" "," ","7.3.3 Jordbær",98,105,88,77,73,57,66,63,130,39,56,46,72,44,45,36,45,40,33,34
" "," ","7.3.4 Kirsebær",124,126,126,84,92,79,71,93,67,56,47,47,37,44,42,34,52,35,40,35
" "," ","7.3.5 Solbær",54,51,48,46,51,55,51,45,59,11,18,17,24,11,11,7,8,7,7,8
" "," ","7.3.6 Ribs",39,48,43,30,26,27,26,18,18,14,14,16,14,13,10,5,..,..,7,6
" "," ","9. Juletræer og pyntegrønt",338,313,314,246,351,414,190,353,349,380,301,255,340,256,247,276,186,245,180,196
" ","Landsdel Sydjylland"
" "," ","1.1 Hvede",3726,3406,3217,3159,3175,2895,2618,2053,2527,2270,2446,2059,1700,2248,1892,2025,1861,1742,1673,1503
" "," ","1.2.2 Vårbyg",5510,4752,5015,4434,4261,4220,4427,4043,3836,3824,4098,3458,3644,3509,3420,3289,3139,2869,2827,2445
" "," ","1.3 Rug",534,519,420,487,628,651,666,788,1126,1722,1238,1184,1026,1419,1186,1052,1073,1133,1053,900
" "," ","1.4 Havre",1450,1179,1543,1179,982,954,897,972,811,1201,1277,1201,1411,1117,1206,1192,1183,977,870,1259
" "," ","1.6 Majs til modenhed",..,..,..,156,124,129,100,144,95,62,57,47,66,57,67,67,68,69,94,69
" "," ","3.1.2 Industrikartofler",227,253,225,219,203,208,251,216,254,214,210,208,157,258,234,225,185,218,192,220
" "," ","3.2 Sukkerroer til fabrik",150,25,..,..,..,..,15,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","4.1 Raps",1619,1927,1714,1352,1264,1166,859,1095,940,1195,1207,983,847,860,798,824,907,994,857,599
" "," ","7.2 Ærter til konsum",11,16,21,15,16,16,25,7,8,5,6,8,..,12,18,21,19,15,13,16
" "," ","7.3 Frugt og bær",154,131,150,123,122,111,181,163,164,120,126,130,126,114,140,140,144,154,162,168
" "," ","7.3.1 Æbler",24,27,37,30,29,33,55,30,27,40,33,29,30,32,37,36,44,42,44,49
" "," ","7.3.2 Pærer",15,16,26,8,6,5,8,5,6,5,7,6,5,6,8,10,7,8,9,7
" "," ","7.3.3 Jordbær",100,75,90,70,58,51,81,60,99,32,55,68,46,48,52,52,43,44,52,48
" "," ","7.3.4 Kirsebær",18,13,7,24,11,..,..,13,..,..,9,8,14,12,11,7,9,8,9,7
" "," ","7.3.5 Solbær",28,26,22,26,26,25,42,16,36,18,20,11,8,8,14,13,12,15,12,13
" "," ","7.3.6 Ribs",14,10,9,5,5,..,..,..,..,..,..,..,22,..,5,6,7,..,..,..
